combo,max_abs_err_mean,max_abs_err_max,mean_abs_err_mean,mean_abs_err_max,rel_max_mean,rel_max_max,rel_mean_mean,rel_mean_max,rmse_mean,rmse_max,cos_sim_mean,cos_sim_max
fp16/int8,4.292806e-03,4.557292e-03,5.223702e-04,5.271277e-04,1.273301e+03,1.738153e+03,4.477078e-02,4.701827e-02,7.069286e-04,7.169690e-04,9.999785e-01,9.999804e-01
fp16/int4,1.559703e-02,1.627604e-02,1.807285e-03,1.818165e-03,4.361545e+03,5.174494e+03,1.545488e-01,1.643648e-01,2.299447e-03,2.314625e-03,9.997718e-01,9.997972e-01
fp16/int2,5.687968e-02,6.429545e-02,6.839742e-03,6.905678e-03,1.717873e+04,2.188216e+04,5.783110e-01,6.129487e-01,8.600378e-03,8.686616e-03,9.968045e-01,9.971415e-01
bf16/int8,4.221598e-03,4.597982e-03,5.224889e-04,5.273827e-04,1.254286e+03,1.726802e+03,4.467183e-02,4.702605e-02,7.070287e-04,7.171502e-04,9.999785e-01,9.999804e-01
bf16/int4,1.567332e-02,1.620483e-02,1.806456e-03,1.816941e-03,4.445342e+03,5.491248e+03,1.545756e-01,1.643693e-01,2.298539e-03,2.312999e-03,9.997720e-01,9.997975e-01
bf16/int2,5.686696e-02,6.396993e-02,6.840491e-03,6.906622e-03,1.720240e+04,2.155579e+04,5.782034e-01,6.129472e-01,8.600746e-03,8.687296e-03,9.968042e-01,9.971395e-01
int8/int8,4.414876e-03,4.882812e-03,5.263143e-04,5.310761e-04,1.259191e+03,1.616231e+03,4.494940e-02,4.744081e-02,7.115590e-04,7.215683e-04,9.999782e-01,9.999802e-01
int8/int4,1.557668e-02,1.618449e-02,1.808627e-03,1.819497e-03,4.472090e+03,5.496684e+03,1.546554e-01,1.644850e-01,2.301246e-03,2.316087e-03,9.997715e-01,9.997972e-01
int8/int2,5.647914e-02,6.413269e-02,6.841736e-03,6.905514e-03,1.705296e+04,2.160842e+04,5.781041e-01,6.129955e-01,8.602343e-03,8.685598e-03,9.968030e-01,9.971374e-01
int4/int8,1.497396e-02,1.562500e-02,1.465495e-03,1.476833e-03,3.341545e+03,4.065960e+03,1.177671e-01,1.241529e-01,1.915032e-03,1.927388e-03,9.998618e-01,9.998755e-01
int4/int4,2.022298e-02,2.148438e-02,2.280289e-03,2.291651e-03,5.603293e+03,6.591198e+03,1.897981e-01,2.013481e-01,2.915410e-03,2.930881e-03,9.996556e-01,9.996920e-01
int4/int2,5.563482e-02,6.165059e-02,6.864572e-03,6.930811e-03,1.768938e+04,2.200891e+04,5.821608e-01,6.174310e-01,8.628021e-03,8.712982e-03,9.967957e-01,9.971336e-01
mxfp8/int8,4.277547e-03,4.720052e-03,5.237998e-04,5.286625e-04,1.324738e+03,1.812503e+03,4.472007e-02,4.696048e-02,7.086140e-04,7.187622e-04,9.999784e-01,9.999803e-01
mxfp8/int4,1.550039e-02,1.627604e-02,1.807502e-03,1.818669e-03,4.326676e+03,5.135306e+03,1.545303e-01,1.643717e-01,2.299657e-03,2.314833e-03,9.997718e-01,9.997971e-01
mxfp8/int2,5.703100e-02,6.401062e-02,6.840042e-03,6.907173e-03,1.712021e+04,2.147429e+04,5.785878e-01,6.130113e-01,8.600532e-03,8.686396e-03,9.968044e-01,9.971418e-01
mxfp4/int8,3.076172e-02,3.190104e-02,4.154634e-03,4.171156e-03,8.275609e+03,9.508038e+03,3.182287e-01,3.331659e-01,5.249711e-03,5.269067e-03,9.991228e-01,9.991899e-01
mxfp4/int4,3.361003e-02,3.678385e-02,4.515795e-03,4.536017e-03,8.556217e+03,9.925346e+03,3.527130e-01,3.725327e-01,5.703775e-03,5.729187e-03,9.989173e-01,9.990068e-01
mxfp4/int2,5.802409e-02,6.022135e-02,7.506651e-03,7.550585e-03,1.751915e+04,2.341666e+04,6.316250e-01,6.704001e-01,9.450830e-03,9.504237e-03,9.963972e-01,9.967500e-01
nvfp4/int8,8.483887e-03,8.789062e-03,8.082098e-04,8.133762e-04,2.021117e+03,2.573319e+03,6.785412e-02,7.116631e-02,1.062963e-03,1.067700e-03,9.999524e-01,9.999572e-01
nvfp4/int4,1.709493e-02,1.824951e-02,1.911566e-03,1.923245e-03,4.647300e+03,5.211907e+03,1.630089e-01,1.729643e-01,2.434503e-03,2.450556e-03,9.997459e-01,9.997744e-01
nvfp4/int2,5.635452e-02,6.282552e-02,6.844296e-03,6.909870e-03,1.709088e+04,2.153531e+04,5.798373e-01,6.146105e-01,8.602967e-03,8.688499e-03,9.968022e-01,9.971379e-01
mxint4/int8,1.497396e-02,1.562500e-02,1.465495e-03,1.476833e-03,3.341545e+03,4.065960e+03,1.177671e-01,1.241529e-01,1.915032e-03,1.927388e-03,9.998618e-01,9.998755e-01
mxint4/int4,2.022298e-02,2.148438e-02,2.280289e-03,2.291651e-03,5.603293e+03,6.591198e+03,1.897981e-01,2.013481e-01,2.915410e-03,2.930881e-03,9.996556e-01,9.996920e-01
mxint4/int2,5.563482e-02,6.165059e-02,6.864572e-03,6.930811e-03,1.768938e+04,2.200891e+04,5.821608e-01,6.174310e-01,8.628021e-03,8.712982e-03,9.967957e-01,9.971336e-01
