combo,max_abs_err,mean_abs_err,rel_max,rel_mean,rmse,cos_sim
fp16/int8,1.562500e-02,6.793357e-04,1.398087e+02,1.090803e-02,1.396728e-03,9.999972e-01
fp16/int4,1.562500e-02,8.331738e-04,2.306127e+02,1.483011e-02,1.570624e-03,9.999965e-01
fp16/int2,1.562500e-02,1.244275e-03,4.489613e+02,2.220981e-02,2.021121e-03,9.999942e-01
bf16/int8,1.562500e-02,6.803795e-04,2.412371e+02,1.188689e-02,1.398749e-03,9.999972e-01
bf16/int4,1.562500e-02,8.354773e-04,7.941433e+02,1.750351e-02,1.573138e-03,9.999965e-01
bf16/int2,1.562500e-02,1.246105e-03,4.581574e+02,2.239322e-02,2.022917e-03,9.999942e-01
int8/int8,1.562500e-02,6.798142e-04,3.251204e+02,1.320921e-02,1.396566e-03,9.999972e-01
int8/int4,1.562500e-02,8.356268e-04,4.604853e+02,1.611086e-02,1.571942e-03,9.999965e-01
int8/int2,1.562500e-02,1.246332e-03,2.204443e+02,2.002264e-02,2.022232e-03,9.999942e-01
int4/int8,1.562500e-02,8.000398e-04,5.680658e+02,1.586279e-02,1.532396e-03,9.999967e-01
int4/int4,1.562500e-02,8.873394e-04,4.479486e+02,1.612701e-02,1.630896e-03,9.999961e-01
int4/int2,1.562500e-02,1.247983e-03,2.500075e+02,2.076822e-02,2.026022e-03,9.999942e-01
mxfp8/int8,1.562500e-02,6.804354e-04,1.850815e+02,1.158755e-02,1.399182e-03,9.999972e-01
mxfp8/int4,1.562500e-02,8.347343e-04,2.818444e+02,1.477641e-02,1.572965e-03,9.999965e-01
mxfp8/int2,1.562500e-02,1.244094e-03,3.397044e+02,2.156448e-02,2.019976e-03,9.999942e-01
mxfp4/int8,1.562500e-02,1.063843e-03,5.993694e+02,1.924685e-02,1.824666e-03,9.999952e-01
mxfp4/int4,1.562500e-02,1.087612e-03,4.398924e+02,2.044139e-02,1.849009e-03,9.999951e-01
mxfp4/int2,1.562500e-02,1.295033e-03,2.825963e+02,2.176769e-02,2.075855e-03,9.999939e-01
nvfp4/int8,1.562500e-02,7.191139e-04,5.589752e+02,1.329792e-02,1.440838e-03,9.999970e-01
nvfp4/int4,1.562500e-02,8.472879e-04,5.984408e+02,1.710425e-02,1.587957e-03,9.999964e-01
nvfp4/int2,1.562500e-02,1.243145e-03,9.021047e+02,2.405257e-02,2.019226e-03,9.999941e-01
mxint4/int8,1.562500e-02,8.000398e-04,5.680658e+02,1.586279e-02,1.532396e-03,9.999967e-01
mxint4/int4,1.562500e-02,8.873394e-04,4.479486e+02,1.612701e-02,1.630896e-03,9.999961e-01
mxint4/int2,1.562500e-02,1.247983e-03,2.500075e+02,2.076822e-02,2.026022e-03,9.999942e-01
